Position,Expression
6.69583,0.307087
6.71354,0.314961
6.725,0.307087
6.73125,0.314961
6.91667,0.322835
6.92292,0.314961
6.93438,0.322835
6.94583,0.314961
6.96354,0.322835
6.975,0.314961
6.98646,0.322835
6.99167,0.314961
7.02708,0.322835
7.03229,0.330709
7.03854,0.322835
7.07396,0.330709
7.10208,0.322835
7.10833,0.330709
7.11979,0.322835
7.12604,0.330709
7.42708,0.314961
7.43333,0.322835
7.43958,0.314961
7.4625,0.322835
7.46771,0.314961
7.47396,0.322835
7.48021,0.314961
7.48542,0.322835
7.49688,0.330709
7.57292,0.322835
7.58437,0.314961
7.59583,0.322835
7.60208,0.314961
7.60729,0.322835
7.625,0.314961
7.65417,0.322835
7.65937,0.314961
7.67708,0.322835
7.69479,0.314961
7.7,0.322835
7.7125,0.314961
7.73542,0.322835
7.74062,0.314961
7.74688,0.322835
7.75833,0.314961
7.78229,0.322835
7.79375,0.330709
7.80521,0.322835
7.81667,0.330709
7.85729,0.322835
7.8625,0.330709
7.88021,0.322835
7.88646,0.330709
8.00833,0.322835
8.0375,0.314961
8.21146,0.307087
8.21667,0.314961
8.24062,0.307087
8.25208,0.314961
8.25729,0.307087
8.26354,0.299213
8.32708,0.307087
8.33333,0.299213
8.33854,0.307087
8.35625,0.314961
8.3625,0.307087
8.38021,0.314961
8.39687,0.299213
8.40312,0.314961
8.40833,0.307087
8.41458,0.314961
8.61146,0.307087
8.61771,0.314961
8.63542,0.307087
8.65833,0.314961
8.66458,0.299213
8.67604,0.307087
8.69896,0.299213
8.70521,0.307087
8.71042,0.299213
8.73333,0.307087
8.74583,0.314961
8.75729,0.299213
8.7625,0.314961
8.76875,0.307087
8.77396,0.314961
8.80937,0.299213
8.81458,0.307087
8.82083,0.314961
8.82708,0.299213
8.83229,0.314961
8.83854,0.299213
8.925,0.307087
8.93125,0.314961
8.94271,0.307087
8.96042,0.314961
8.96562,0.307087
8.97188,0.314961
8.97708,0.307087
8.98958,0.314961
8.99479,0.307087
9.00104,0.314961
9.00625,0.307087
9.0125,0.299213
9.14062,0.283465
9.14583,0.291339
9.175,0.283465
9.18125,0.291339
9.18646,0.299213
9.19271,0.291339
9.22708,0.283465
9.4125,0.275591
9.41875,0.283465
9.425,0.275591
9.44167,0.267717
9.44792,0.275591
9.45417,0.267717
9.45937,0.275591
9.46562,0.267717
9.48854,0.275591
9.49375,0.267717
9.52917,0.283465
9.62187,0.291339
9.62813,0.283465
9.85417,0.275591
9.86042,0.283465
9.86562,0.275591
9.87187,0.283465
9.9125,0.275591
9.92917,0.283465
9.94167,0.267717
9.94688,0.275591
9.95312,0.267717
9.96458,0.275591
9.96979,0.267717
9.9875,0.275591
9.99896,0.267717
10.0229,0.275591
10.0281,0.267717
10.0458,0.275591
10.0573,0.283465
10.0635,0.275591
10.0865,0.283465
10.1042,0.275591
10.1094,0.283465
10.2427,0.275591
10.249,0.283465
10.2552,0.275591
10.2667,0.283465
10.2896,0.275591
10.2958,0.283465
10.3125,0.275591
10.3187,0.283465
10.3885,0.267717
10.3938,0.275591
10.4,0.267717
10.4052,0.275591
10.4292,0.267717
10.4469,0.275591
10.4521,0.267717
10.4812,0.275591
10.4927,0.267717
10.5104,0.275591
10.5156,0.283465
10.5219,0.275591
10.5333,0.283465
10.6552,0.291339
10.6615,0.283465
10.7594,0.267717
10.7656,0.275591
10.7708,0.283465
10.7833,0.275591
10.7885,0.283465
10.8177,0.275591
10.824,0.283465
10.8292,0.275591
10.8469,0.267717
10.8531,0.275591
10.8583,0.283465
10.8646,0.275591
10.876,0.267717
10.8875,0.275591
10.8927,0.283465
11.125,0.291339
11.1312,0.283465
11.1375,0.291339
11.149,0.283465
11.1604,0.291339
11.1656,0.283465
11.1781,0.291339
11.1833,0.283465
11.2063,0.291339
11.2125,0.283465
11.2354,0.291339
11.2708,0.299213
11.451,0.307087
11.4563,0.299213
11.4625,0.307087
11.4677,0.299213
11.4792,0.307087
11.4854,0.299213
11.5031,0.307087
11.5083,0.314961
11.5146,0.307087
11.5323,0.314961
11.7354,0.322835
11.7406,0.314961
11.7469,0.330709
11.7521,0.322835
11.7635,0.330709
12.025,0.338583
12.0427,0.346457
12.0719,0.330709
12.0833,0.314961
12.0885,0.283465
12.0948,0.251969
12.101,0.204724
12.1062,0.141732
12.1125,0.0787402
12.1188,0
