Position,Expression
9.08958,0.503937
9.11875,0.511811
9.12396,0.519685
9.17604,0.511811
9.1875,0.503937
9.19375,0.519685
9.2,0.503937
9.21146,0.511811
9.21667,0.503937
9.22292,0.511811
9.22813,0.519685
9.25729,0.527559
9.26354,0.519685
9.31563,0.503937
9.32188,0.519685
9.32708,0.511811
9.33333,0.503937
9.38542,0.488189
9.39062,0.496063
9.40312,0.488189
9.47813,0.496063
9.48438,0.503937
9.53646,0.496063
9.55937,0.488189
9.59479,0.472441
9.61146,0.448819
9.61771,0.440945
9.64687,0.433071
9.65208,0.425197
9.68125,0.433071
9.6875,0.425197
9.69896,0.433071
9.71042,0.440945
9.775,0.448819
9.79167,0.464567
9.79688,0.472441
9.80312,0.456693
9.80937,0.440945
9.84375,0.425197
9.87917,0.417323
9.88438,0.409449
9.925,0.393701
9.93125,0.409449
9.96042,0.393701
9.96562,0.401575
9.97708,0.409449
9.98333,0.401575
9.98854,0.393701
10.0062,0.401575
10.0125,0.393701
10.0177,0.401575
10.0354,0.393701
10.0823,0.385827
10.0938,0.377953
10.099,0.385827
10.1052,0.377953
10.175,0.385827
10.1802,0.377953
10.1865,0.385827
10.1979,0.377953
10.326,0.370079
10.3375,0.377953
10.3427,0.370079
10.3781,0.362205
10.3833,0.370079
10.3896,0.362205
10.4708,0.346457
10.5458,0.354331
10.5583,0.362205
10.5635,0.346457
10.5698,0.354331
10.5813,0.346457
10.6271,0.338583
10.6396,0.330709
10.674,0.322835
10.6802,0.314961
10.7208,0.307087
10.7438,0.299213
10.7552,0.307087
10.7615,0.299213
10.8073,0.283465
10.8135,0.291339
10.8187,0.283465
10.8594,0.275591
10.8656,0.267717
10.8719,0.275591
10.8833,0.267717
10.924,0.251969
10.9292,0.259843
10.9354,0.267717
10.9698,0.259843
10.976,0.267717
10.9812,0.259843
10.9875,0.251969
10.999,0.259843
11.0104,0.251969
11.0219,0.259843
11.0333,0.251969
11.0458,0.259843
11.051,0.267717
11.0625,0.251969
11.0687,0.259843
11.075,0.251969
11.1094,0.244094
11.1156,0.23622
11.1615,0.228346
11.1677,0.23622
11.1729,0.220472
11.2542,0.212598
11.2604,0.204724
11.2833,0.188976
11.2896,0.204724
11.2948,0.19685
11.301,0.188976
